Lat,Long,Device
31.1276226,-93.06165314,FM
31.12547684,-93.06373596,FM
31.12532425,-93.06400299,FM
31.12534904,-93.06395721,FM
31.12537575,-93.06391144,FM
31.12539482,-93.06388092,FM
31.12535095,-93.06395721,FM
31.12531853,-93.06401062,FM
31.1252594,-93.06411743,FM
31.125494,-93.06370544,FM
31.12535286,-93.06394958,FM
31.12532043,-93.06401062,FM
31.1252861,-93.06407166,FM
31.12525177,-93.06413269,FM
31.12527466,-93.06408691,FM
31.12529945,-93.06404877,FM
31.12529373,-93.0640564,FM
31.12536812,-93.0639267,FM
31.1253624,-93.06393433,FM
31.1253891,-93.06388855,FM
31.12529945,-93.06404114,FM
31.12375259,-93.06781006,FM
31.12382507,-93.06726837,FM
31.12386894,-93.06761169,FM
31.12374496,-93.06809998,FM
31.12410164,-93.06748199,FM
31.12681007,-93.05963135,FM
31.12544441,-93.06378937,FM
31.1240406,-93.06776428,FM
31.12513351,-93.06311798,FM
31.12529564,-93.06404877,FM
31.12533188,-93.06398773,FM
31.12537956,-93.06390381,FM
31.12526894,-93.06410217,FM
31.12400627,-93.06686401,FM
31.12367249,-93.06811523,FM
31.12377739,-93.06751251,FM
31.12446213,-93.06551361,FM
31.12427139,-93.06565094,FM
31.12435722,-93.06608582,FM
31.12412262,-93.06570435,FM
31.12552261,-93.06365967,FM
31.12530518,-93.06403351,FM
31.12552452,-93.05973816,FM
31.12359047,-93.06781769,FM
31.12415886,-93.06591034,FM
31.12517357,-93.06078339,FM
31.12425041,-93.06543732,FM
31.12367249,-93.06802368,FM
31.12575912,-93.05791473,FM
31.12419891,-93.06920624,TACSAT
31.1242981,-93.06428528,TACSAT
31.12366676,-93.0675354,TACSAT
31.12397003,-93.06591034,TACSAT
31.12379265,-93.06573486,TACSAT
31.12396049,-93.06506348,TACSAT
31.12378502,-93.06639862,TACSAT
31.12387085,-93.06560516,TACSAT
31.12386131,-93.06607056,TACSAT
31.12392998,-93.06559753,TACSAT
31.12409401,-93.06420135,TACSAT
31.1235714,-93.06626892,TACSAT
31.12380791,-93.06609344,TACSAT
31.12398148,-93.06560516,TACSAT
31.12381172,-93.066185,TACSAT
31.12390709,-93.06575012,TACSAT
31.12379837,-93.06575012,TACSAT
31.12372971,-93.06648254,TACSAT
31.12384987,-93.06517792,TACSAT
31.12367058,-93.06645203,TACSAT
31.12193871,-93.06481934,TACSAT
31.12317467,-93.06789398,TACSAT
31.1230793,-93.06586456,TACSAT
31.12223625,-93.06590271,TACSAT
31.12235641,-93.06582642,TACSAT
31.12218475,-93.06603241,TACSAT
31.12261391,-93.06575775,TACSAT
31.1225872,-93.06555939,TACSAT
31.12261009,-93.06574249,TACSAT
31.12259102,-93.06564331,TACSAT
