Lat,Long
31.1276226,-93.06165314
31.12547684,-93.06373596
31.12532425,-93.06400299
31.12534904,-93.06395721
31.12537575,-93.06391144
31.12539482,-93.06388092
31.12537575,-93.06391144
31.12537575,-93.06391144
31.12535095,-93.06395721
31.12537575,-93.06391144
31.12539482,-93.06388092
31.12531853,-93.06401062
31.1252594,-93.06411743
31.125494,-93.06370544
31.12535286,-93.06394958
31.12532043,-93.06401062
31.1252861,-93.06407166
31.12525177,-93.06413269
31.12527466,-93.06408691
31.12529945,-93.06404877
31.12529373,-93.0640564
31.12536812,-93.0639267
31.1253624,-93.06393433
31.1253891,-93.06388855
31.12532425,-93.06400299
31.12529945,-93.06404114
31.12375259,-93.06781006
31.12382507,-93.06726837
31.12386894,-93.06761169
31.12374496,-93.06809998
31.12410164,-93.06748199
31.12681007,-93.05963135
31.12544441,-93.06378937
31.12535095,-93.06395721
31.12532425,-93.06400299
31.1240406,-93.06776428
31.12513351,-93.06311798
31.12529564,-93.06404877
31.12533188,-93.06398773
31.12537956,-93.06390381
31.12526894,-93.06410217
31.12400627,-93.06686401
31.12367249,-93.06811523
31.12377739,-93.06751251
31.12446213,-93.06551361
31.12527466,-93.06408691
31.12427139,-93.06565094
31.12435722,-93.06608582
31.12412262,-93.06570435
