Lat,Long,Lat_FM,Long_FM,Lat_TACSAT,Long_TACSAT,Lat_JCR,Long_JCR,Lat_WiFi,Long_WiFi
31.12366676,-93.0675354,,,,,,,,
31.12397003,-93.06591034,,,,,,,,
31.12379265,-93.06573486,,,,,,,,
31.12396049,-93.06506348,,,,,,,,
31.12378502,-93.06639862,,,,,,,,
31.12387085,-93.06560516,,,,,,,,
31.12386131,-93.06607056,,,,,,,,
31.12392998,-93.06559753,,,,,,,,
31.12409401,-93.06420135,,,,,,,,
31.1235714,-93.06626892,,,,,,,,
31.12380791,-93.06609344,,,,,,,,
31.12398148,-93.06560516,,,,,,,,
31.12381172,-93.066185,,,,,,,,
31.12390709,-93.06575012,,,,,,,,
31.12379837,-93.06575012,,,,,,,,
31.12372971,-93.06648254,,,,,,,,
31.12384987,-93.06517792,,,,,,,,
31.12367058,-93.06645203,,,,,,,,
31.12193871,-93.06481934,,,,,,,,
31.12317467,-93.06789398,,,,,,,,
31.1230793,-93.06586456,,,,,,,,
31.12223625,-93.06590271,,,,,,,,
31.12235641,-93.06582642,,,,,,,,
31.12218475,-93.06603241,,,,,,,,
31.12261391,-93.06575775,,,,,,,,
31.1225872,-93.06555939,,,,,,,,
31.12261009,-93.06574249,,,,,,,,
31.12259102,-93.06564331,,,,,,,,
31.12260437,-93.06544495,,,,,,,,
31.12142372,-93.06626892,,,,,,,,
31.12230301,-93.06800842,,,,,,,,
31.12259674,-93.06839752,,,,,,,,
31.12374306,-93.06748962,,,,,,,,
31.12502098,-93.06047821,,,,,,,,
31.12367249,-93.06788635,,,,,,,,
31.12497711,-93.06070709,,,,,,,,
31.11999893,-93.063591,,,,,,,,
31.12282181,-93.06591034,,,,,,,,
31.12301064,-93.06604004,,,,,,,,
31.12124252,-93.06693268,,,,,,,,
31.12121201,-93.06733704,,,,,,,,
31.12125015,-93.0675354,,,,,,,,
31.12077332,-93.06660461,,,,,,,,
31.12071228,-93.06739807,,,,,,,,
